[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/dashboard
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/css/materialdesignicons.min.css
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/css/bootstrap.min.css
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap-multitabs/multitabs.min.css
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/css/animate.min.css
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/css/style.min.css
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/jquery.min.js
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/images/logo-sidebar.png
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/popper.min.js
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap.min.js
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/perfect-scrollbar.min.js
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/bootstrap-multitabs/multitabs.min.js
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/jquery.cookie.min.js
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/Chart.min.js
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/index.min.js
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/main.min.js
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/js/myutils.js
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/fonts/materialdesignicons-webfont.woff2?v=4.1.95
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/welcome
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/styles.css
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/static/images/index-background.jpg
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:59 | 接口请求数据:
[2025-04-24 18:11:38] | DEBUG | app.py:print_request_info:52 | 接口请求地址:http://127.0.0.1:8888/login
